config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r8_open,8,8,false,0,0.99283326,1.8779578,0.75,false,-0.07870126,0.005134195,0.99283326,0,-0.07870126,0,-1,NaN,27.434114077811497,NaN,0.002,5.042,0|1|1|1,-0.0767|0.0051|0.0175|0.0787,0.0767|0.0051|0.0175|-0.0787,1.7823|1.9108|1.853|1.9657
h8_r8_open,8,8,false,5,0.87805796,1.6313678,0.5,false,-0.1696733,0.10183436,0.87805796,5,-0.07870126,0,-1,2.9186251105110377,27.40755613513874,0.1576385726980389,0.0019602992,21.87,1|1|0|0,0.1582|0.405|-0.1697|-0.3302,-0.1582|0.405|-0.1697|0.3302,1.8494|1.3299|1.9289|1.4173
h8_r8_open,8,8,false,10,0.845832,1.459277,0.75,false,-0.23221992,0.13364176,0.845832,10,-0.07870126,0,-1,2.64655266142298,27.375714575790642,0.11507615445114441,0.0019117794,34.995,0|1|0|0,-0.0681|0.623|-0.2322|-0.0756,0.0681|0.623|-0.2322|0.0756,1.4724|1.0189|1.8871|1.4587
h8_r8_open,8,8,false,15,0.79877204,1.3844522,0.75,false,-0.26979962,0.21282543,0.79877204,15,-0.07870126,0,-1,3.0041099052692815,27.3449754189698,0.09708586055954858,0.0018644604,48.449,0|1|0|0,-0.1441|0.8928|-0.2698|-0.0843,0.1441|0.8928|-0.2698|0.0843,1.4286|0.7116|1.9461|1.4515
h8_r8_open,8,8,false,20,0.73265827,1.2954644,0.75,false,-0.21861081,0.26613206,0.73265827,20,-0.07870126,0,-1,2.880268080208366,27.31847380858727,0.08301013494496348,0.0018183127,62.181,0|1|0|0,-0.049|0.9692|-0.2186|-0.265,0.049|0.9692|-0.2186|0.265,1.3768|0.6678|1.8772|1.2601
h8_r8_open,8,8,false,25,0.4642148,1.1318789,1.0,true,0.10434337,0.3822103,0.4642148,25,0.10434337,25,25,2.673472055449301,27.29190956376484,0.07699499685425328,0.0017733073,76.48,0|1|1|0,-0.1043|0.8546|0.2112|-0.3587,0.1043|0.8546|0.2112|0.3587,1.3253|0.7233|1.37|1.1089
h8_r8_open,8,8,false,30,0.3309508,1.0739341,1.0,true,0.13464795,0.46477595,0.3309508,30,0.13464795,30,25,2.753080116971289,27.264270650460514,0.06923586043522963,0.0017294157,90.065,0|1|1|0,-0.1346|0.715|0.5445|-0.465,0.1346|0.715|0.5445|0.465,1.2757|0.814|1.1282|1.0778
h8_r8_open,8,8,false,35,0.24364293,1.0073787,1.0,true,0.25883833,0.57395995,0.24364293,35,0.25883833,35,25,2.1235078172640875,27.237035064440523,0.058767054484375233,0.0016866106,103.359,0|1|1|0,-0.2588|0.9402|0.6315|-0.4653,0.2588|0.9402|0.6315|0.4653,1.1683|0.6831|1.0907|1.0874
h8_r8_open,8,8,false,40,0.21051592,0.95704883,1.0,true,0.28432345,0.61065185,0.21051592,40,0.28432345,40,25,1.8465891815390876,27.20544823328994,0.05285070092964382,0.001644865,116.831,0|1|1|0,-0.2843|0.9243|0.7409|-0.493,0.2843|0.9243|0.7409|0.493,1.1433|0.6861|1.0317|0.9672
h8_r8_open,8,8,false,45,0.20879015,0.897708,1.0,true,0.24266282,0.6959464,0.20879015,45,0.28432345,40,25,1.8168985335509198,27.170253150274473,0.04962189405655208,0.0016041525,130.346,0|1|1|0,-0.2427|1.2034|0.69|-0.6477,0.2427|1.2034|0.69|0.6477,1.1585|0.5387|1.0483|0.8454
